Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
Cd36_72960,orf19.1344	NG	0.0298686	0.351409	0.0849966	1.72962e-17	663	133.658	529.342	NA	53	37.5	15.5	NA	NA	0.09469	1:1:1:1:1:1	0.278274(0.274554:0.357143:0.203125)	NA	NA	NA	NA
Cd36_72970,orf19.1343	NG	0.050192	0.470206	0.106745	4.80872e-87	3141	689.887	2451.11	NA	360	241	119	NA	NA	0.142444	1:1:1:1:1:1	0.323855(0.367773:0.356398:0.247393)	NA	NA	NA	NA
Cd36_72980,orf19.1342	NG	0.00883726	0.372317	0.0237359	3.51305e-57	1479	340.748	1138.25	NA	110	100	10	NA	NA	0.0925797	1:1:1:1:1:1	0.374577(0.472617:0.400609:0.250507)	NA	NA	NA	NA
Cd36_72990,orf19.1341	NG	0.0573789	0.795733	0.0721082	1.28654e-43	942	195.244	746.756	NA	137	95.75	41.25	NA	NA	0.210414	1:1:1:1:1:1	0.334382(0.375786:0.294025:0.333333)	NA	NA	NA	NA
Cd36_73000,orf19.1340	NG	0.0194508	0.528009	0.036838	8.53722e-42	927	197.862	729.138	NA	89	75	14	NA	NA	0.127999	1:1:1:1:1:1	0.366775(0.425566:0.33657:0.338188)	NA	NA	NA	NA
Cd36_73010,orf19.1339	NG	0.00782094	0.406919	0.0192199	1.06028e-66	1626	340.704	1285.3	NA	117	107	10	NA	NA	0.091446	1:1:1:1:1:1	0.372386(0.414207:0.361624:0.341328)	NA	NA	NA	NA
Cd36_73030,orf19.1336.2	NG	0.00961468	0.210092	0.0457642	7.23922e-07	297	52.7566	244.243	NA	12	9.66667	2.33333	NA	NA	0.0452257	1:1:1:1:1:1	0.316498(0.419192:0.257576:0.272727)	NA	NA	NA	NA
Cd36_73050,orf19.1335	NG	0.0145761	0.329856	0.0441893	3.30666e-93	3183	677.583	2505.42	NA	217	180.833	36.1667	NA	NA	0.0816915	1:1:1:1:1:1	0.331307(0.447615:0.326941:0.219364)	NA	NA	NA	NA
Cd36_73060,orf19.1334	NG	0.0589334	0.387796	0.15197	1.0751e-38	1932	420.523	1511.48	NA	213	127.333	85.6667	NA	NA	0.130514	1:1:1:1:1:1	0.315068(0.384323:0.34551:0.215373)	NA	NA	NA	NA
Cd36_73070,orf19.1333	NG	0.0371643	0.498583	0.07454	5.72192e-58	1689	365.175	1323.82	NA	181	133	48	NA	NA	0.136927	1:1:1:1:1:1	0.328696(0.395254:0.337971:0.252864)	NA	NA	NA	NA
Cd36_73080,orf19.1332	NG	0.0613613	0.521561	0.117649	6.52968e-48	1647	362.734	1284.27	NA	212	136.333	75.6667	NA	NA	0.162715	1:1:1:1:1:1	0.347748(0.425225:0.347748:0.27027)	NA	NA	NA	NA
Cd36_73110,orf19.6690	NG	0.190122	0.604357	0.314586	1.81898e-26	2070	450.852	1619.15	NA	459	187.083	271.917	NA	NA	0.280344	1:1:1:1:1:1	0.342068(0.419263:0.305949:0.300992)	NA	NA	NA	NA
Cd36_73140,orf19.6705	NG	0.0285898	0.475778	0.0600906	1.13036e-109	3129	651.437	2477.56	NA	299	229.5	69.5	NA	NA	0.121691	1:1:1:1:1:1	0.349365(0.378095:0.359524:0.310476)	NA	NA	NA	NA
Cd36_73150,orf19.6706	NG	0.0305034	0.487483	0.0625733	6.5838e-81	2301	469.373	1831.63	NA	223	168.25	54.75	NA	NA	0.123721	1:1:1:1:1:1	0.316581(0.417526:0.29768:0.234536)	NA	NA	NA	NA
Cd36_73160,orf19.6707	NG	0.0583962	0.469362	0.124416	3.75409e-30	1161	238.381	922.619	NA	135	83.1667	51.8333	NA	NA	0.142777	1:1:1:1:1:1	0.313625(0.393316:0.304627:0.242931)	NA	NA	NA	NA
Cd36_73170,orf19.6684	NG	0.0623196	0.403953	0.154274	1.12958e-15	729	152.084	576.916	NA	82	47.5	34.5	NA	NA	0.133591	1:1:1:1:1:1	0.32582(0.47541:0.297131:0.204918)	NA	NA	NA	NA
Cd36_73180,orf19.6685	NG	0.0950791	0.311338	0.305388	5.52103e-08	798	161.563	636.437	NA	98	41.1667	56.8333	NA	NA	0.138863	1:1:1:1:1:1	0.308365(0.447566:0.269663:0.207865)	NA	NA	NA	NA
Cd36_73190,orf19.6686	NG	0.0296716	0.318127	0.0932697	5.44075e-49	2235	464.775	1770.23	NA	172	120.5	51.5	NA	NA	0.0896568	1:1:1:1:1:1	0.317439(0.409934:0.361589:0.180795)	NA	NA	NA	NA
Cd36_73200,orf19.6687	NG	0.109132	0.728354	0.149834	3.76492e-54	1998	381.607	1616.39	NA	342	177.833	164.167	NA	NA	0.2274	1:1:1:1:1:1	0.267557(0.303412:0.232196:0.267062)	NA	NA	NA	NA
Cd36_73210,orf19.6688	NG	0.116901	0.460655	0.253772	3.58984e-14	939	209.182	729.818	NA	151	72	79	NA	NA	0.19348	1:1:1:1:1:1	0.329268(0.333841:0.442073:0.21189)	NA	NA	NA	NA
Cd36_73220,orf19.6689	NG	0.00698089	0.305384	0.0228594	7.30504e-46	1392	300.638	1091.36	NA	83	75.4167	7.58333	NA	NA	0.0714285	1:1:1:1:1:1	0.312678(0.445513:0.357906:0.134615)	NA	NA	NA	NA
Cd36_73260,orf19.6703	NG	0.174808	0.614458	0.284492	5.40808e-27	1809	394.378	1414.62	NA	386	165.417	220.583	NA	NA	0.270656	1:1:1:1:1:1	0.349103(0.424959:0.315661:0.306688)	NA	NA	NA	NA
Cd36_73270,orf19.6702	NG	0.00466217	0.311282	0.0149773	1.09836e-57	1656	365.041	1290.96	NA	99	93	6	NA	NA	0.072252	1:1:1:1:1:1	0.374396(0.481884:0.365036:0.276268)	NA	NA	NA	NA
Cd36_73280,orf19.6701	NG	0.0122231	0.280102	0.0436381	5.23425e-55	2064	455.628	1608.37	NA	126	106.5	19.5	NA	NA	0.0713574	1:1:1:1:1:1	0.364689(0.472504:0.378437:0.243126)	NA	NA	NA	NA
Cd36_73290,orf19.6699	NG	0.0516431	0.459433	0.112406	1.12348e-25	945	193.575	751.425	NA	104	66.5	37.5	NA	NA	0.135175	1:1:1:1:1:1	0.312369(0.416667:0.287736:0.232704)	NA	NA	NA	NA
Cd36_73300,orf19.6698	NG	0.0359887	0.486205	0.0740196	3.4895e-50	1467	314.431	1152.57	NA	153	112.5	40.5	NA	NA	0.132486	1:1:1:1:1:1	0.341854(0.43047:0.366053:0.229039)	NA	NA	NA	NA
Cd36_73310,orf19.6696	NG	0.00468218	0.0908344	0.0515463	0.00390789	261	46.7567	214.243	NA	5	4	1	NA	NA	0.0201159	1:1:1:1:1:1	0.277778(0.413793:0.264368:0.155172)	NA	NA	NA	NA
Cd36_73320,orf19.6694	NG	0.144731	0.529025	0.273581	4.91852e-27	1932	406.178	1525.82	NA	355	154.167	200.833	NA	NA	0.225524	1:1:1:1:1:1	0.348165(0.523379:0.293363:0.227753)	NA	NA	NA	NA
Cd36_73330,orf19.6693	NG	0.0692426	0.379674	0.182374	3.84069e-51	3177	650.884	2526.12	NA	361	193.917	167.083	NA	NA	0.132842	1:1:1:1:1:1	0.271723(0.379686:0.290323:0.145161)	NA	NA	NA	NA
Cd36_73340,orf19.6692	NG	0.0459375	0.343562	0.133709	1.09733e-36	1908	389.413	1518.59	NA	175	107.333	67.6667	NA	NA	0.106681	1:1:1:1:1:1	0.26918(0.399471:0.27381:0.134259)	NA	NA	NA	NA
Cd36_73350,orf19.6691	NG	0.0266209	0.360544	0.0738353	2.4897e-51	1842	414.557	1427.44	NA	156	118.667	37.3333	NA	NA	0.101773	1:1:1:1:1:1	0.307774(0.401757:0.36901:0.152556)	NA	NA	NA	NA
Cd36_73360,orf19.6690	NG	0.255723	0.76518	0.334199	7.166e-27	2070	450.531	1619.47	NA	567	216.083	350.917	NA	NA	0.366605	1:1:1:1:1:1	0.343194(0.415584:0.308081:0.305916)	NA	NA	NA	NA
Cd36_73370,orf19.5507	NG	0.0568423	0.259414	0.219118	8.63303e-16	1413	295.631	1117.37	NA	126	64.8333	61.1667	NA	NA	0.0992248	1:1:1:1:1:1	0.290563(0.448065:0.311609:0.112016)	NA	NA	NA	NA
Cd36_73380,orf19.5506	NG	0.0879352	0.364911	0.240977	1.684e-40	3216	690.163	2525.84	NA	409	199.417	209.583	NA	NA	0.147375	1:1:1:1:1:1	0.258017(0.32083:0.345984:0.107237)	NA	NA	NA	NA
Cd36_73390,orf19.5505	NG	0.118341	0.399389	0.296304	3.66952e-20	1833	391.293	1441.71	NA	279	121.167	157.833	NA	NA	0.178337	1:1:1:1:1:1	0.276123(0.405956:0.305643:0.116771)	NA	NA	NA	NA
Cd36_73400,orf19.5504	NG	0.160749	0.331395	0.485066	1.189e-11	2823	588.904	2234.1	NA	481	157.75	323.25	NA	NA	0.196347	1:1:1:1:1:1	0.24801(0.339542:0.319007:0.0854823)	NA	NA	NA	NA
Cd36_73420,orf19.5502	NG	0.175275	0.40664	0.431032	0.000429672	501	105.928	395.072	NA	95	33.25	61.75	NA	NA	0.224193	1:1:1:1:1:1	0.204698(0.231544:0.263423:0.119128)	NA	NA	NA	NA
Cd36_73430,orf19.5501	NG	0.159555	0.362404	0.440269	5.1651e-05	759	159.477	599.523	NA	132	45.8333	86.1667	NA	NA	0.202177	1:1:1:1:1:1	0.264198(0.438889:0.266667:0.087037)	NA	NA	NA	NA
Cd36_73440,orf19.7204	NG	0.143533	0.416755	0.344405	3.08025e-11	1215	244.733	970.267	NA	205	78.25	126.75	NA	NA	0.198567	1:1:1:1:1:1	0.228551(0.318565:0.241561:0.125527)	NA	NA	NA	NA
Cd36_73450,orf19.7203	NG	0.110195	0.287143	0.383765	7.30991e-08	1152	249.406	902.594	NA	152	59.5	92.5	NA	NA	0.148504	1:1:1:1:1:1	0.270574(0.400249:0.316708:0.0947631)	NA	NA	NA	NA
Cd36_73460,orf19.7202	NG	0.0405351	0.163443	0.248008	3.57869e-05	588	119.161	468.839	NA	36	17.5	18.5	NA	NA	0.065443	1:1:1:1:1:1	0.240196(0.333333:0.284314:0.102941)	NA	NA	NA	NA
Cd36_73470,orf19.7201	NG	0.0592506	0.291895	0.202986	8.54891e-39	3153	645.858	2507.14	NA	299	156.167	142.833	NA	NA	0.106905	1:1:1:1:1:1	0.280155(0.447907:0.287907:0.104651)	NA	NA	NA	NA
Cd36_73480,orf19.7200	NG	0.179399	0.290571	0.617401	0.0686512	498	92.7081	405.292	NA	87	22.3333	64.6667	NA	NA	0.200094	1:1:1:1:1:1	0.242337(0.390805:0.247126:0.0890805)	NA	NA	NA	NA
Cd36_73490,orf19.7199	NG	0.116855	0.464492	0.251577	2.27211e-08	504	102.762	401.238	NA	79	35.5833	43.4167	NA	NA	0.187736	1:1:1:1:1:1	0.260355(0.384615:0.286982:0.109467)	NA	NA	NA	NA
Cd36_73500,orf19.7269	NG	0.085501	1.47387	0.0580113	1.71872e-43	657	143.433	513.567	NA	134	92.5	41.5	NA	NA	0.388603	1:1:1:1:1:1	0.457576(0.5:0.347727:0.525)	NA	NA	NA	NA
Cd36_73510,orf19.7267	NG	0.270225	1.31281	0.205837	7.89551e-22	753	176.019	576.981	NA	240	109.083	130.917	NA	NA	0.513937	1:1:1:1:1:1	0.451172(0.466797:0.333984:0.552734)	NA	NA	NA	NA
Cd36_73520,orf19.7265	NG	0.133523	1.26743	0.10535	2.66753e-34	726	161.871	564.129	NA	168	99	69	NA	NA	0.386342	1:1:1:1:1:1	0.355499(0.388747:0.264706:0.413043)	NA	NA	NA	NA
Cd36_73530,orf19.7198	NG	0.0390703	0.371358	0.105209	5.0368e-24	954	218.514	735.486	NA	92	64	28	NA	NA	0.115181	1:1:1:1:1:1	0.276557(0.362637:0.350275:0.116758)	NA	NA	NA	NA
Cd36_73540,orf19.7197	NG	0.0679846	0.408096	0.16659	1.18428e-39	2136	437.134	1698.87	NA	248	137.583	110.417	NA	NA	0.137589	1:1:1:1:1:1	0.276286(0.402013:0.287919:0.138926)	NA	NA	NA	NA
Cd36_73550,orf19.7196	NG	0.0233368	0.416071	0.0560885	2.55723e-51	1476	344.457	1131.54	NA	136	110	26	NA	NA	0.11499	1:1:1:1:1:1	0.358688(0.486815:0.420892:0.168357)	NA	NA	NA	NA
Cd36_73560,orf19.7195	NG	0.0193683	0.285186	0.0679148	5.81794e-13	528	109.598	418.402	NA	34	26	8	NA	NA	0.0745445	1:1:1:1:1:1	0.345438(0.52514:0.343575:0.167598)	NA	NA	NA	NA
Cd36_73570,orf19.7194	NG	0.102787	0.477183	0.215404	2.27825e-13	747	152.72	594.28	NA	111	53.9167	57.0833	NA	NA	0.17933	1:1:1:1:1:1	0.26828(0.382258:0.266129:0.156452)	NA	NA	NA	NA
Cd36_73580,orf19.7193	NG	0.0671329	0.391594	0.171435	2.45541e-36	1992	432.161	1559.84	NA	232	131.833	100.167	NA	NA	0.137524	1:1:1:1:1:1	0.342632(0.479971:0.336195:0.211731)	NA	NA	NA	NA
Cd36_73590,orf19.7190	NG	0.0235617	0.576031	0.0409035	6.2837e-48	1038	218.873	819.127	NA	107	88	19	NA	NA	0.140056	1:1:1:1:1:1	0.32814(0.389518:0.334278:0.260623)	NA	NA	NA	NA
Cd36_73600,orf19.7188	NG	0.0165179	0.169345	0.0975399	1.73186e-05	324	79.162	244.838	NA	16	12	4	NA	NA	0.0538577	1:1:1:1:1:1	0.469136(0.643519:0.5:0.263889)	NA	NA	NA	NA
Cd36_73610,orf19.7187	NG	0.0219863	0.371557	0.0591735	4.69e-25	792	168.937	623.063	NA	63	49.5	13.5	NA	NA	0.0965511	1:1:1:1:1:1	0.327091(0.458801:0.29588:0.226592)	NA	NA	NA	NA
Cd36_73620,orf19.7186	NG	0.0156406	0.37451	0.041763	1.8362e-47	1458	295.111	1162.89	NA	105	87	18	NA	NA	0.0882786	1:1:1:1:1:1	0.371663(0.455852:0.323409:0.335729)	NA	NA	NA	NA
Cd36_73630,orf19.7185	NG	0.0362704	0.385539	0.0940772	1.82316e-33	1317	272.019	1044.98	NA	119	82	37	NA	NA	0.10841	1:1:1:1:1:1	0.353265(0.426804:0.312371:0.320619)	NA	NA	NA	NA
Cd36_73640,orf19.7184	NG	0.012871	0.475263	0.0270818	5.36718e-23	462	109.367	352.633	NA	43	38.5	4.5	NA	NA	0.122331	1:1:1:1:1:1	0.372294(0.412338:0.347403:0.357143)	NA	NA	NA	NA
Cd36_73650,orf19.7183	NG	0.0383917	0.449613	0.0853883	1.96833e-17	528	113.845	414.155	NA	54	38.5	15.5	NA	NA	0.127057	1:1:1:1:1:1	0.349432(0.332386:0.369318:0.346591)	NA	NA	NA	NA
Cd36_73660,orf19.7182	NG	0.0205997	0.370389	0.0556165	1.19276e-24	804	164.217	639.783	NA	61	48	13	NA	NA	0.092044	1:1:1:1:1:1	0.350746(0.45709:0.26306:0.33209)	NA	NA	NA	NA
Cd36_73670,orf19.7181	NG	0.0613795	0.435967	0.140789	7.0917e-38	1656	362.201	1293.8	NA	196	119.75	76.25	NA	NA	0.143309	1:1:1:1:1:1	0.359903(0.428442:0.310688:0.34058)	NA	NA	NA	NA
Cd36_73680,orf19.7179	NG	0.0221734	0.494781	0.0448145	3.00923e-79	1914	426.503	1487.5	NA	187	154.5	32.5	NA	NA	0.127486	1:1:1:1:1:1	0.399322(0.510955:0.338811:0.3482)	NA	NA	NA	NA
Cd36_73690,orf19.7178	NG	0.00301968	0.334354	0.00903138	1.9563e-35	849	185.344	663.656	NA	52	50	2	NA	NA	0.0753528	1:1:1:1:1:1	0.378521(0.522887:0.362676:0.25)	NA	NA	NA	NA
Cd36_73700,orf19.7177	NG	0.0151176	0.457576	0.0330385	5.186e-117	2940	601.411	2338.59	NA	241	206	35	NA	NA	0.105628	1:1:1:1:1:1	0.340986(0.37449:0.277041:0.371429)	NA	NA	NA	NA
Cd36_73710,orf19.7176	NG	0.0321173	0.43041	0.0746202	4.52916e-39	1263	261.07	1001.93	NA	117	85.5	31.5	NA	NA	0.114447	1:1:1:1:1:1	0.36342(0.401425:0.326603:0.362233)	NA	NA	NA	NA
Cd36_73720,orf19.7175	NG	0.0176185	0.64832	0.0271757	2.08368e-56	993	217.727	775.273	NA	108	94.5	13.5	NA	NA	0.155907	1:1:1:1:1:1	0.395896(0.414414:0.423423:0.34985)	NA	NA	NA	NA
Cd36_73730,orf19.7173	NG	0.11596	0.678674	0.170862	1.57646e-42	1710	348.775	1361.22	NA	302	155.75	146.25	NA	NA	0.230732	1:1:1:1:1:1	0.345014(0.37265:0.286325:0.376068)	NA	NA	NA	NA
Cd36_73740,orf19.7170	NG	0.0361321	0.722244	0.0500276	5.05022e-24	387	103.518	283.482	NA	58	48	10	NA	NA	0.219659	1:1:1:1:1:1	0.463719(0.57483:0.639456:0.176871)	NA	NA	NA	NA
Cd36_73750,orf19.7167	NG	0.0685123	0.776475	0.0882351	1.21488e-30	657	153	504	NA	107	74	33	NA	NA	0.23338	1:1:1:1:1:1	0.393885(0.494604:0.496403:0.190647)	NA	NA	NA	NA
Cd36_73760,orf19.7166	NG	0.0202108	0.513233	0.0393794	7.44839e-58	1341	287.889	1053.11	NA	128	107	21	NA	NA	0.126054	1:1:1:1:1:1	0.380104(0.416481:0.358575:0.365256)	NA	NA	NA	NA
Cd36_73770,orf19.7165	NG	0.0798833	0.518662	0.154018	1.93474e-14	582	113.515	468.485	NA	78	42.5	35.5	NA	NA	0.165464	1:1:1:1:1:1	0.316514(0.383028:0.247706:0.318807)	NA	NA	NA	NA
Cd36_73780,orf19.7164	NG	0.0253091	0.559325	0.0452494	1.1309e-48	1086	235.485	850.515	NA	114	92.8333	21.1667	NA	NA	0.141104	1:1:1:1:1:1	0.375458(0.418956:0.340659:0.366758)	NA	NA	NA	NA
Cd36_73790,orf19.7163	NG	0.0882433	0.409673	0.2154	3.87032e-07	405	78.6728	326.327	NA	52	24.8333	27.1667	NA	NA	0.150682	1:1:1:1:1:1	0.364198(0.42963:0.288889:0.374074)	NA	NA	NA	NA
Cd36_73800,orf19.7161	NG	0.0153457	0.271006	0.0566247	8.36083e-21	843	184.66	658.34	NA	52	42	10	NA	NA	0.0713486	1:1:1:1:1:1	0.389671(0.394366:0.392606:0.382042)	NA	NA	NA	NA
Cd36_73810,orf19.7160	NG	0.0263636	0.515154	0.0511761	4.51956e-26	636	134.178	501.822	NA	63	50	13	NA	NA	0.129485	1:1:1:1:1:1	0.375969(0.506977:0.281395:0.339535)	NA	NA	NA	NA
Cd36_73820,orf19.7159	NG	0.0565137	0.61406	0.0920329	5.96897e-102	2898	620.138	2277.86	NA	384	260	124	NA	NA	0.175822	1:1:1:1:1:1	0.361742(0.427686:0.272727:0.384814)	NA	NA	NA	NA
Cd36_73830,orf19.7158	NG	0.0423519	0.581234	0.0728655	2.7e-64	1653	365.916	1287.08	NA	201	148	53	NA	NA	0.161641	1:1:1:1:1:1	0.390295(0.390597:0.388788:0.391501)	NA	NA	NA	NA
Cd36_73840,orf19.7157	NG	0.092361	0.667611	0.138346	3.98453e-23	759	160.614	598.386	NA	123	71	52	NA	NA	0.214091	1:1:1:1:1:1	0.343791(0.437255:0.260784:0.333333)	NA	NA	NA	NA
Cd36_73850,orf19.7156	NG	0.0204045	0.640329	0.0318656	2.14885e-119	2238	499.25	1738.75	NA	250	215	35	NA	NA	0.158697	1:1:1:1:1:1	0.385836(0.428954:0.381367:0.347185)	NA	NA	NA	NA
Cd36_73860,orf19.7154	NG	0.0363754	0.649327	0.0560201	1.3142e-74	1656	346.412	1309.59	NA	197	150.5	46.5	NA	NA	0.164596	1:1:1:1:1:1	0.363233(0.421847:0.333925:0.333925)	NA	NA	NA	NA
Cd36_73870,orf19.7153	NG	0.0222422	0.720889	0.0308538	1.91043e-167	3075	611.006	2463.99	NA	337	283	54	NA	NA	0.161064	1:1:1:1:1:1	0.323482(0.375969:0.24031:0.354167)	NA	NA	NA	NA
Cd36_73880,orf19.7152	NG	0.0212677	1.10391	0.0192659	2.25258e-92	1095	260.435	834.565	NA	168	150.5	17.5	NA	NA	0.278763	1:1:1:1:1:1	0.431963(0.50137:0.423288:0.371233)	NA	NA	NA	NA
Cd36_73890,orf19.7150	NG	0.0794824	0.604852	0.131408	7.34403e-29	909	216.173	692.827	NA	142	89.75	52.25	NA	NA	0.204423	1:1:1:1:1:1	0.400818(0.441718:0.501534:0.259202)	NA	NA	NA	NA
Cd36_73900,orf19.7149	NG	0.0638536	1.28958	0.0495151	8.14034e-111	1746	357.36	1388.64	NA	305	220	85	NA	NA	0.314728	1:1:1:1:1:1	0.365874(0.410017:0.252122:0.435484)	NA	NA	NA	NA
Cd36_73910,orf19.7148	NG	0.0533516	0.968128	0.055108	1.46367e-99	1662	394.965	1267.04	NA	280	214.75	65.25	NA	NA	0.270743	1:1:1:1:1:1	0.413913(0.451304:0.401739:0.388696)	NA	NA	NA	NA
Cd36_73920,orf19.7144	NG	0.0434919	0.982071	0.0442859	1.46799e-106	1707	377.765	1329.24	NA	263	206.833	56.1667	NA	NA	0.251202	1:1:1:1:1:1	0.410168(0.493068:0.330156:0.407279)	NA	NA	NA	NA
Cd36_73930,orf19.7141	NG	0.0648707	1.222	0.0530859	3.82942e-57	918	188.516	729.484	NA	159	113.667	45.3333	NA	NA	0.302493	1:1:1:1:1:1	0.401274(0.485669:0.238854:0.479299)	NA	NA	NA	NA
Cd36_73940,orf19.7140	NG	0.0629464	1.16028	0.0542511	5.35694e-47	744	164.312	579.688	NA	132	97	35	NA	NA	0.305291	1:1:1:1:1:1	0.428(0.45:0.322:0.512)	NA	NA	NA	NA
Cd36_73950,orf19.7139	NG	0.261624	NA	NA	5.93775e-21	390	81.3669	308.633	NA	132	63.8333	68.1667	NA	NA	NA	1:1:1:1:1:1	0.367446(0.429825:0.30117:0.371345)	NA	NA	NA	NA
Cd36_73960,orf19.7136	NG	0.0788675	0.989029	0.0797423	4.76674e-198	4128	878.704	3249.3	NA	726	482.75	243.25	NA	NA	0.272608	1:1:1:1:1:1	0.430205(0.503852:0.309524:0.477241)	NA	NA	NA	NA
Cd36_73970,orf19.7131	NG	0.10753	1.04661	0.102742	1.56449e-53	1212	262.017	949.983	NA	243	147.833	95.1667	NA	NA	0.310545	1:1:1:1:1:1	0.458233(0.428916:0.353012:0.592771)	NA	NA	NA	NA
Cd36_73980,orf19.7130	NG	0.170193	1.1726	0.145142	4.93088e-15	393	84.3251	308.675	NA	97	50	47	NA	NA	0.385277	1:1:1:1:1:1	0.409524(0.428571:0.396429:0.403571)	NA	NA	NA	NA
Cd36_73990,orf19.7128	NG	0.0482879	0.756841	0.0638019	5.45273e-26	504	117.325	386.675	NA	74	55.9167	18.0833	NA	NA	0.213231	1:1:1:1:1:1	0.447732(0.41716:0.343195:0.58284)	NA	NA	NA	NA
Cd36_74000,orf19.7635	NG	0.0735942	1.02996	0.0714533	1.65909e-95	1776	396.992	1379.01	NA	319	222.333	96.6667	NA	NA	0.287373	1:1:1:1:1:1	0.417618(0.498369:0.326264:0.428222)	NA	NA	NA	NA
Cd36_25070,orf19.7539	NG	0.123753	0.978305	0.126497	8.15749e-40	1050	220.189	829.811	NA	215	120.333	94.6667	NA	NA	0.302956	1:1:1:1:1:1	0.41819(0.434726:0.328982:0.490862)	NA	NA	NA	NA
Cd36_25080,orf19.7538	NG	0.169842	0.79403	0.213898	5.57801e-40	1761	385.855	1375.15	NA	398	189	209	NA	NA	0.306608	1:1:1:1:1:1	0.445073(0.501616:0.331987:0.501616)	NA	NA	NA	NA
Cd36_25090,orf19.7537	NG	0.0803879	0.985123	0.0816019	9.75849e-208	4284	951.962	3332.04	NA	776	522	254	NA	NA	0.281432	1:1:1:1:1:1	0.404647(0.439904:0.332031:0.442007)	NA	NA	NA	NA
Cd36_25100,orf19.7534	NG	0.0228278	0.706274	0.0323215	2.24954e-171	2940	693.949	2246.05	NA	368	317.5	50.5	NA	NA	0.184146	1:1:1:1:1:1	0.428618(0.487805:0.390244:0.407805)	NA	NA	NA	NA
Cd36_25110,orf19.7531	NG	0.0589219	0.710784	0.0828971	1.22681e-29	684	154.59	529.41	NA	101	71	30	NA	NA	0.206248	1:1:1:1:1:1	0.387918(0.443231:0.349345:0.371179)	NA	NA	NA	NA
Cd36_25120,orf19.7529	NG	0.0322326	0.787656	0.0409222	2.24556e-125	2238	478.875	1759.13	NA	289	233.5	55.5	NA	NA	0.193874	1:1:1:1:1:1	0.417323(0.473097:0.347769:0.431102)	NA	NA	NA	NA
Cd36_25130,orf19.7527	NG	0.0534187	0.893596	0.0597795	5.9694e-114	2109	470.156	1638.84	NA	330	245.5	84.5	NA	NA	0.240718	1:1:1:1:1:1	0.393151(0.410959:0.345205:0.423288)	NA	NA	NA	NA
Cd36_25140,orf19.7523	NG	0.0502827	0.690345	0.072837	2.70908e-63	1512	309.142	1202.86	NA	198	139.5	58.5	NA	NA	0.181149	1:1:1:1:1:1	0.396239(0.462062:0.305447:0.421206)	NA	NA	NA	NA
Cd36_25150,orf19.7522	NG	0.0648372	0.730869	0.0887124	6.8436e-49	1170	257.694	912.306	NA	177	120.333	56.6667	NA	NA	0.211532	1:1:1:1:1:1	0.391453(0.434615:0.325641:0.414103)	NA	NA	NA	NA
Cd36_25160,orf19.7521	NG	0.0679299	0.656908	0.103408	7.73529e-71	2055	425.4	1629.6	NA	292	186.167	105.833	NA	NA	0.189853	1:1:1:1:1:1	0.37909(0.452347:0.321479:0.363442)	NA	NA	NA	NA
Cd36_25170,orf19.7520	NG	0.00481009	0.370735	0.0129745	1.90339e-52	1224	285.463	938.537	NA	88	83.5	4.5	NA	NA	0.0901515	1:1:1:1:1:1	0.409722(0.480392:0.438725:0.310049)	NA	NA	NA	NA
Cd36_25180,orf19.7519	NG	0.0416997	1.03004	0.0404834	5.10619e-29	438	92.8463	345.154	NA	66	52	14	NA	NA	0.251207	1:1:1:1:1:1	0.381279(0.424658:0.342466:0.376712)	NA	NA	NA	NA
Cd36_25190,orf19.7518	NG	0.0212955	0.585512	0.0363708	3.27384e-85	1740	382.6	1357.4	NA	184	155.5	28.5	NA	NA	0.145358	1:1:1:1:1:1	0.41008(0.439863:0.387457:0.402921)	NA	NA	NA	NA
Cd36_25200,orf19.7517	NG	0.048396	0.437236	0.110686	4.86233e-38	1341	323.95	1017.05	NA	155	107.333	47.6667	NA	NA	0.14233	1:1:1:1:1:1	0.411325(0.439103:0.480769:0.314103)	NA	NA	NA	NA
Cd36_25210,orf19.7516	NG	0.0511663	0.605017	0.0845699	2.18152e-106	2880	635.761	2244.24	NA	375	264	111	NA	NA	0.173429	1:1:1:1:1:1	0.395292(0.443925:0.353583:0.38837)	NA	NA	NA	NA
Cd36_25230,orf19.7514	NG	0.00979	0.203051	0.0482144	1.25445e-33	1659	373.835	1285.17	NA	79	66.5	12.5	NA	NA	0.053339	1:1:1:1:1:1	0.408981(0.431284:0.421338:0.374322)	NA	NA	NA	NA
Cd36_25250,orf19.7513	NG	0.0251136	0.394658	0.0636337	1.30273e-48	1566	337.819	1228.18	NA	134	103.667	30.3333	NA	NA	0.104832	1:1:1:1:1:1	0.388046(0.448767:0.36148:0.35389)	NA	NA	NA	NA
Cd36_25260,orf19.7512	NG	0.0303293	0.539111	0.056258	6.98311e-66	1614	352.403	1261.6	NA	173	135.5	37.5	NA	NA	0.141417	1:1:1:1:1:1	0.381041(0.425651:0.358736:0.358736)	NA	NA	NA	NA
